"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23021105M_ITS_F96","Species richness",259,259,2.3699580798034,259,263.645032481284,1,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","F96",62314,FALSE,2,11,"2 11",2,11,8
"GBP23021105M_ITS_F96","Shannon diversity",71.08567258018,71.2563004727964,0.451051685302999,70.3722554144365,72.1403455311564,0.997605434305679,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","F96",62314,FALSE,2,11,"2 11",2,11,8
"GBP23021105M_ITS_F96","Simpson diversity",40.0222603504739,40.0510230987054,0.275756073119893,39.5105511268722,40.5914950705386,0.999281847353546,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","F96",62314,FALSE,2,11,"2 11",2,11,8
"GBP23021401M_ITS_F96","Species richness",60,60,1.1647177184444,60,62.2828047803067,1,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","F96",3526,FALSE,2,14,"2 14",2,14,20
"GBP23021401M_ITS_F96","Shannon diversity",20.1449468131686,20.3185823170613,0.455858011703804,19.4251170320579,21.2120476020648,0.991454349462808,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","F96",3526,FALSE,2,14,"2 14",2,14,20
"GBP23021401M_ITS_F96","Simpson diversity",8.66186346808235,8.68094876052902,0.288329794001928,8.11583274861539,9.24606477244265,0.997801473897248,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","F96",3526,FALSE,2,14,"2 14",2,14,20
"GBP23021402M_ITS_F96","Species richness",15,15,0.382136419929073,15,15.7489736202421,1,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","F96",4132,FALSE,2,14,"2 14",2,14,20
"GBP23021402M_ITS_F96","Shannon diversity",1.33878778760919,1.34110296912134,0.0233557023901135,1.29532663360308,1.3868793046396,0.998273673561644,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","F96",4132,FALSE,2,14,"2 14",2,14,20
"GBP23021402M_ITS_F96","Simpson diversity",1.09729040975417,1.09731625297563,0.0074139727847554,1.08278513333515,1.11184737261611,0.99997644870256,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","F96",4132,FALSE,2,14,"2 14",2,14,20
"GBP23021501M_ITS_F96","Species richness",8,8,0.251154347690386,8,8.49225347603381,1,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","F96",1662,FALSE,2,15,"2 15",2,15,11
"GBP23021501M_ITS_F96","Shannon diversity",1.25173399062226,1.2544452235803,0.0304008036045129,1.19486074341438,1.31402970374622,0.997838699604361,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","F96",1662,FALSE,2,15,"2 15",2,15,11
"GBP23021501M_ITS_F96","Simpson diversity",1.0786695345339,1.07872062571363,0.0106609226233771,1.05782560132984,1.09961565009741,0.999952637245914,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","F96",1662,FALSE,2,15,"2 15",2,15,11
"GBP23021601M_ITS_F48","Species richness",4,4,0.319878764640084,4,4.62695085811373,1,23,"p02","s16","01M","#414487FF","#FCFFA4FF","sample","F48",34,FALSE,2,16,"2 16",2,16,12
"GBP23021601M_ITS_F48","Shannon diversity",3.25135413399388,3.40455554641313,0.343341548625218,2.7316184767115,4.07749261611477,0.95500105363807,23,"p02","s16","01M","#414487FF","#FCFFA4FF","sample","F48",34,FALSE,2,16,"2 16",2,16,12
"GBP23021601M_ITS_F48","Simpson diversity",2.84729064039409,3.01612903225807,0.437588479613908,2.15847137216517,3.87378669235097,0.94402149574563,23,"p02","s16","01M","#414487FF","#FCFFA4FF","sample","F48",34,FALSE,2,16,"2 16",2,16,12
"GBP23021603M_ITS_F96","Species richness",128,128,1.34530192472863,128,130.636743320801,1,23,"p02","s16","03M","#414487FF","#FCFFA4FF","sample","F96",67384,FALSE,2,16,"2 16",2,16,12
"GBP23021603M_ITS_F96","Shannon diversity",50.2602751429942,50.3297223758956,0.260028056435766,49.8200767503115,50.8393680014796,0.998620154659652,23,"p02","s16","03M","#414487FF","#FCFFA4FF","sample","F96",67384,FALSE,2,16,"2 16",2,16,12
"GBP23021603M_ITS_F96","Simpson diversity",31.9419283467918,31.9632320697894,0.236441054285832,31.4998161189225,32.4266480206563,0.999333492841055,23,"p02","s16","03M","#414487FF","#FCFFA4FF","sample","F96",67384,FALSE,2,16,"2 16",2,16,12
"GBP23021604M_ITS_F96","Species richness",291,291,0.204185614129524,291,291.400196449855,1,23,"p02","s16","04M","#414487FF","#FCFFA4FF","sample","F96",96325,FALSE,2,16,"2 16",2,16,12
